TYPE,CONTENT,DESCRIPTION,IS_COLLAPSED,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
task,"CRUD справочников","Что выполнить: создать справочник для сущности, получить список по сущности, сохранить изменения, удалить справочник. При удалении нужно проверять, используется ли справочник полями.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"CRUD значений справочника","Что выполнить: добавить значение, изменить название, включить или выключить active, удалить значение. Code должен генерироваться автоматически и оставаться стабильным.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Валидация справочника","Что выполнить: не допускать пустые названия, дубли name/code внутри одного справочника, битые enumId у полей сущности.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Импорт значений справочника из файла","Что выполнить: backend или общий сервис должен прочитать xlsx/csv/tsv, вернуть колонки, принять выбранную колонку, добавить уникальные непустые значения и активировать уже существующие.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Связь справочника с EntityField","Что выполнить: поле типа enum должно хранить enumId. Валидация объектов и импорта должна принимать только active item code или корректно маппить name в code.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Справочники / Frontend","Задачи frontend-части для справочников.",,4,3,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Страница списка справочников","Что выполнить: выбрать сущность, показать все справочники этой сущности, количество значений и действие Добавить справочник.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Редактор справочника","Что выполнить: редактировать название справочника, искать по значениям, добавлять значения вручную, менять active, удалять значения и сохранять изменения.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Импорт значений через UI","Что выполнить: кнопка Загрузить из таблицы, чтение файла, диалог выбора колонки, показ количества значений, добавление уникальных значений в справочник.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Подключение справочника в конструкторе сущности","Что выполнить: если поле имеет тип Справочник, frontend должен показать selector доступных справочников выбранной сущности и сохранить enumId.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Справочники в формах и импорте","Что выполнить: в форме объекта показывать label справочника, а сохранять code. В импорте принимать и точное значение, и близкое совпадение по названию.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Empty states и ошибки","Что выполнить: показать понятные состояния Нет сущностей, Нет справочников, Нет значений, Ничего не найдено, Ошибка чтения файла.",,3,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Справочники / QA и критерии готовности","Что выполнить: проверить сценарий Создать справочник категорий или территорий -> импортировать значения из файла -> подключить к enum-полю сущности -> импортировать объекты со значениями справочника -> увидеть labels в реестре, карточке и API.",,4,3,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Импорт","Фича MVP: загрузка Excel/CSV с объектами любой опубликованной сущности, сопоставление колонок, валидация, геокодинг адресов, создание черновиков и опубликованных объектов.",,4,2,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Импорт / Backend","Задачи backend-части для импорта.",,4,3,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Модель ImportBatch","Что выполнить: хранить id, entityId, fileName, status, totalRows, validRows, invalidRows, createdBy, createdAt, completedAt. Это нужно, чтобы пользователь мог вернуться к результатам импорта.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Модель ImportRow","Что выполнить: хранить batchId, rowNumber, rawValues, mappedValues, geometry, status, errors, geometryStatus. Строка должна знать, почему она не опубликована.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Чтение xlsx/csv/tsv","Что выполнить: принять файл, определить колонки, прочитать строки, удалить полностью пустые строки, корректно обработать кириллицу и даты Excel.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Сохранение маппинга колонок","Что выполнить: хранить соответствие поле сущности -> колонка файла. Обязательные поля должны быть сопоставлены до запуска проверки.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Валидация типов значений","Что выполнить: проверить integer, decimal, boolean, date, datetime, enum, address и required. Ошибки должны возвращаться массивом понятных сообщений по строке.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Валидация адреса","Что выполнить: проверить наличие населенного пункта, улицы или аналога и номера дома. Если адрес неполный, строка должна получить ошибку и не уходить в опубликованные.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Backend-прокси для DaData","Что выполнить: вынести токен DaData из frontend, сделать серверный endpoint для подсказок и геокодинга, добавить обработку лимитов, ошибок и таймаутов.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Кэш геокодинга","Что выполнить: кэшировать результат по нормализованному адресу, чтобы повторная проверка одинаковых адресов не тратила лимиты и работала быстрее.",,3,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Определение геометрии","Что выполнить: получить координаты через DaData, попробовать найти контур здания через Nominatim или другой источник, если контура нет, сохранить Point.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Создание объектов по результатам импорта","Что выполнить: валидные строки создавать со статусом published или ready, проблемные строки создавать как draft или оставлять в ImportRow до исправления. Решение должно быть единым и понятным.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Повторная проверка строки","Что выполнить: после исправления адреса или обязательных полей backend должен пересчитать errors, geometryStatus, geometry и статус строки.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Публикация исправленных строк","Что выполнить: если строка больше не имеет ошибок и геометрия определена, backend должен создать или обновить EntityObject и пометить строку как published.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Аудит импорта","Что выполнить: создать audit event для массового импорта, создания объекта, исправления строки и публикации. В MVP достаточно технической истории без сложной аналитики.",,3,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Импорт / Frontend","Задачи frontend-части для импорта.",,4,3,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Wizard импорта","Что выполнить: шаги Сущность, Загрузка, Сопоставление, Проверка. Пользователь всегда должен понимать, на каком шаге он находится и что будет дальше.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Загрузка файла","Что выполнить: drag/drop или кнопка выбора файла, показ имени файла, количества строк и колонок, ограничения формата, понятная ошибка чтения.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Сопоставление колонок","Что выполнить: таблица полей сущности, тип поля, обязательность и selector колонки файла. Автоматически предлагать совпадения по названию поля и code.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Экран проверки строк","Что выполнить: показать количество валидных строк, черновиков, строк без координат и строк с ошибками. В таблице должны быть rowNumber, preview, coordinates status, status и причины.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Прогресс геокодинга","Что выполнить: при большом файле показывать прогресс проверки и возможность продолжить работу после частичной ошибки. Минимум для MVP: loading state и запрет повторного клика.",,3,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Импорт результата","Что выполнить: кнопка Импортировать должна создать объекты или ImportBatch, показать toast с итогами и предложить перейти к исправлению ошибок или к карте.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Очередь исправления ошибок","Что выполнить: отдельный экран или режим в реестре: Без координат, Неполный адрес, Нет обязательных полей, Ошибка справочника. Это ключевой недостающий UX для MVP.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Редактирование проблемной строки","Что выполнить: оператор должен быстро исправить адрес, значения справочников и обязательные поля без ухода в сложный редактор. После сохранения строку можно проверить повторно.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Повторный геокодинг из UI","Что выполнить: кнопка Проверить адрес еще раз должна вызвать backend revalidate для строки и обновить статус, ошибки и геометрию.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Публикация исправленных объектов","Что выполнить: валидная строка должна получить действие Опубликовать. После публикации объект должен появиться в реестре и на глобальной карте.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Переход на карту после импорта","Что выполнить: после публикации хотя бы одного объекта показать действие Открыть карту. На карте должен быть включен слой импортированной сущности и видны опубликованные геометрии.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Импорт / QA и критерии готовности","Что выполнить: прогнать 4 файла: полностью валидный, с неполными адресами, с ошибочным справочником, с пустыми обязательными полями. MVP готов, если оператор может довести ошибки до появления точек на карте.",,4,3,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"API","Фича MVP: сгенерированный read/search API и OpenAPI для опубликованных сущностей и справочников.",,4,2,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"API / Backend","Задачи backend-части для API.",,4,3,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Генерация каталога ресурсов","Что выполнить: по active сущностям и их справочникам сформировать список ресурсов, endpoints, fields, filterable, sortable и count.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"GET list для объектов сущности","Что выполнить: endpoint /api/v1/entities/{code}/objects должен возвращать объекты сущности с фильтрами, сортировкой, limit и offset.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"POST search для объектов сущности","Что выполнить: endpoint /api/v1/entities/{code}/objects/search должен принимать JSON body с logic, filters, sort, limit, offset и возвращать тот же формат результата.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"GET item для объекта сущности","Что выполнить: endpoint /api/v1/entities/{code}/objects/{id} должен вернуть один объект или 404, если объект не найден.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"GET list/search/get для справочников","Что выполнить: поддержать /api/v1/dictionaries/{code}/items, /search и /{id}. Вернуть id, name, active и системные поля при необходимости.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Фильтры API","Что выполнить: поддержать equals, notEquals, contains, startsWith, endsWith, greaterThan, greaterOrEqual, lessThan, lessOrEqual, in, notIn, filled, empty, today, beforeToday, afterToday.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"OpenAPI","Что выполнить: endpoint /api/v1/openapi.json должен возвращать спецификацию только тех методов, которые реально работают в MVP.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Согласовать API-документацию с реализацией","Что выполнить: если create, patch и delete не реализованы, не показывать их как рабочие методы или явно пометить как planned. Сейчас это критично для доверия.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Ошибки и статусы API","Что выполнить: единый формат ошибок 404, 405, invalid filter, invalid resource. Сообщения должны быть полезны интегратору.",,3,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Минимальная авторизация API","Что выполнить: для demo можно оставить без auth, но для MVP-пилота нужен хотя бы read-only API key или явная маркировка demo-only. Не выдавать это за production security.",,3,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"API / Frontend","Задачи frontend-части для API.",,4,3,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Страница API-каталога","Что выполнить: показать ресурсы Сущности и Справочники, количество записей, описание и доступные endpoints для выбранного ресурса.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Конструктор фильтров API","Что выполнить: пользователь выбирает поле русским названием, оператор и значение. Frontend генерирует корректный query или JSON body.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Preview query-запроса","Что выполнить: показать endpoint с query-параметрами, limit, offset, sort и filters. Должна быть кнопка Скопировать запрос.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Preview JSON body","Что выполнить: показать JSON body для POST search, читаемый и пригодный для копирования. Не должно быть undefined и лишних пустых полей.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Preview результата API","Что выполнить: выполнить запрос на текущих данных и показать returned, total и таблицу первых результатов. Это доказывает, что API не просто документация.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Копирование OpenAPI","Что выполнить: кнопка Скопировать OpenAPI должна копировать валидный JSON. Желательно добавить Download openapi.json как следующий шаг.",,3,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Явная маркировка read/search MVP","Что выполнить: если API пока только читает и ищет, интерфейс должен писать Read/Search API. Нельзя визуально обещать рабочие POST create, PATCH, DELETE.",,4,4,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"API / QA и критерии готовности","Что выполнить: проверить GET list, POST search, GET item, OpenAPI, фильтры по статусу, справочному полю и названию объекта. Результат в API должен совпадать с данными в реестре.",,4,3,"Меда (60309627)",,,,Europe/Amsterdam,,,,
task,"Финальная проверка MVP","Что выполнить: пройти демонстрационный сценарий целиком: создать или открыть произвольную сущность -> проверить справочник категорий или территорий -> загрузить Excel/CSV -> исправить ошибки -> опубликовать объекты -> увидеть их на карте -> открыть read/search API.",,4,2,"Меда (60309627)",,,,Europe/Amsterdam,,,,
